condition	time	methane	windspeed	current
ON	2026-05-03T02:02:43	2.0240001678466797	0.0	0.6155625
ON	2026-05-03T02:02:48	2.0270001888275146	0.0	0.6094375
ON	2026-05-03T02:02:53	2.0290000438690186	4.0958125	0.5593750000000001
ON	2026-05-03T02:02:58	2.0340001583099365	0.0	0.6101875
ON	2026-05-03T02:03:03	2.0320000648498535	4.0959375	0.6105625
ON	2026-05-03T02:03:08	2.0370001792907715	0.0	0.5533750000000001
ON	2026-05-03T02:03:14	2.0329999923706055	4.0959375	0.6109375
ON	2026-05-03T02:03:19	2.0310001373291016	4.0959375	0.6160625
ON	2026-05-03T02:03:24	2.0320000648498535	0.0	0.6108750000000001
ON	2026-05-03T02:03:29	2.0320000648498535	4.0959375	0.61075
ON	2026-05-03T02:03:34	2.0300002098083496	0.0	0.617625
ON	2026-05-03T02:03:39	2.0290000438690186	4.095875	0.5929375
ON	2026-05-03T02:03:44	2.0240001678466797	4.0959375	0.6101875
ON	2026-05-03T02:03:50	2.0210001468658447	0.0	0.619125
ON	2026-05-03T02:03:55	2.0260000228881836	4.0959375	0.6032500000000001
ON	2026-05-03T02:04:00	2.0290000438690186	0.0	0.611125
ON	2026-05-03T02:04:05	2.0250000953674316	0.0	0.6111875
ON	2026-05-03T02:04:10	2.0220000743865967	4.0959375	0.605375
ON	2026-05-03T02:04:15	2.0230000019073486	4.0959375	0.61
ON	2026-05-03T02:04:20	2.0230000019073486	4.095875	0.61425
ON	2026-05-03T02:04:26	2.0270001888275146	4.0959375	0.55775
ON	2026-05-03T02:04:31	2.0300002098083496	0.0	0.61075
ON	2026-05-03T02:04:36	2.0329999923706055	0.0	0.61825
ON	2026-05-03T02:04:41	2.0350000858306885	4.0959375	0.591
ON	2026-05-03T02:04:46	2.0390000343322754	4.0959375	0.618625
ON	2026-05-03T02:04:51	2.0460000038146973	4.0959375	0.6098750000000001
ON	2026-05-03T02:04:56	2.0360000133514404	0.0	0.6108750000000001
ON	2026-05-03T02:05:01	2.0370001792907715	0.0	0.6170625
ON	2026-05-03T02:05:07	2.0350000858306885	4.0959375	0.6109375
ON	2026-05-03T02:05:12	2.0380001068115234	4.0959375	0.6116875
ON	2026-05-03T02:05:17	2.0470001697540283	0.0	0.6149375
ON	2026-05-03T02:05:22	2.0490000247955322	4.0959375	0.598125
ON	2026-05-03T02:05:27	2.0530002117156982	4.095875	0.6118750000000001
ON	2026-05-03T02:05:32	2.05400013923645	0.0	0.619125
